lncRNA,DNA Methylation
40,58
43,70
50,88
52,91
117,94
118,107
134,108
135,109
142,116
152,141
158,143
160,148
181,155
199,245
210,250
222,257
239,272
246,286
273,287
279,321
280,323
313,325
323,338
354,339
395,358
410,393
419,401
460,463
478,471
534,517
572,552
575,579
579,586
593,607
617,627
629,632
655,635
660,667
662,668
710,683
716,696
717,761
718,763
720,773
721,775
722,777
725,810
754,816
758,824
768,846
770,861
799,864
810,869
818,885
819,908
822,911
825,913
830,925
859,947
865,998
881,1002
922,1010
946,1016
947,1021
970,1029
971,1036
973,1045
989,1080
991,1102
1015,1137
1026,1145
1036,1176
1050,1180
1054,1195
1072,1213
1088,1233
1113,1236
1120,1260
1129,1261
1130,1280
1132,1297
1135,1302
1140,1311
1176,1352
1191,1378
1211,1379
1271,1401
1296,1410
1316,1421
1317,1428
1350,1441
1351,1482
1375,1496
1378,1501
1380,1545
1382,1549
1410,1553
1418,1593
1419,1660
1420,1716
1421,1741
1495,1745
1506,1746
1521,1748
1540,1749
1581,1761
1589,1767
1593,1777
1608,1793
1616,1804
1627,1807
1628,1812
1630,1815
1645,1816
1646,1879
1723,1917
1727,1977
1729,1996
1737,1997
1743,2016
1755,2018
1778,2019
1781,2020
1791,2023
1797,2034
1804,2047
1805,2104
1821,2113
1822,2128
1832,2149
1874,2180
1890,2204
1893,2248
1960,2250
1982,2253
1998,2257
1999,2288
2005,2290
2013,2294
2026,2298
2029,2300
2034,2306
2053,2313
2064,2322
2066,2330
2067,2357
2068,2358
2073,2487
2099,2494
2101,2550
2107,2554
2115,2556
2119,2558
2122,2570
2128,2571
2152,2583
2153,2587
2161,2597
2162,2619
2175,2624
2185,2625
2195,2626
2209,2627
2210,2645
2256,2657
2258,2668
2260,2674
2277,2693
2286,2700
2294,2719
2300,2731
2302,2736
2303,2762
2313,2769
2354,2776
2357,2786
2358,2814
2395,2825
2491,2831
2523,2834
2524,2837
2530,2848
2532,2863
2547,2869
2549,2889
2550,2893
2556,2898
2564,2903
2592,2906
2595,2911
2596,2916
2622,2922
2644,2977
2651,2978
2669,3036
2677,3054
2690,3055
2729,3105
2731,3110
2735,3116
2771,3131
2779,3135
2785,3142
2786,3167
2792,3170
2823,3175
2848,3195
2854,3196
2863,3199
2868,3201
2870,3202
2886,3204
2889,3205
2901,3206
2907,3209
2914,3212
3005,3214
3006,3218
3007,3219
3008,3221
3010,3225
3012,3226
3013,3228
3017,3229
3018,3231
3034,3232
3036,3233
3042,3234
3050,3235
3068,3236
3077,3237
3101,3238
3117,3239
3119,3262
3123,3269
3127,3316
3159,3350
3170,3351
3178,3358
3198,3394
3199,3425
3200,3479
3201,3553
3202,3633
3203,3651
3204,3676
3205,3678
3206,3687
3207,3693
3209,3706
3240,3709
3250,3728
3275,3742
3290,3743
3291,3747
3297,3755
3299,3760
3313,3764
3316,3776
3320,3778
3338,3785
3362,3787
3373,3788
3400,3791
3428,3856
3485,3927
3488,3975
3491,4009
3569,4010
3587,4026
3590,4033
3608,4041
3617,4052
3625,4063
3626,4111
3627,4137
3635,4163
3646,4166
3663,4185
3676,4188
3678,4204
3689,4209
3705,4211
3714,4212
3727,4223
3752,4232
3758,4261
3763,4298
3766,4299
3816,4318
3817,4332
3833,4342
3842,4345
3852,4430
3853,4487
3854,4582
3883,4600
3888,4604
3890,4607
3891,4618
3903,4636
3914,4661
3916,4741
3931,4744
3953,4760
3956,4773
3957,4782
3977,4810
4037,4821
4047,4825
4048,4852
4049,4869
4050,4885
4064,4887
4086,4908
4088,4914
4100,4978
4103,4990
4121,5002
4130,5010
4141,5013
4144,5015
4157,5020
4170,5068
4192,5071
4209,5077
4232,5079
4237,5080
4242,5081
4257,5083
4277,5087
4283,5091
4312,5099
4314,5100
4317,5126
4319,5158
4332,5173
4350,5178
4352,5179
4481,5191
4489,5195
4490,5223
4493,5243
4494,5268
4495,5293
4496,5304
4499,5307
4501,5308
4502,5309
4504,5313
4543,5349
4584,5396
4607,5433
4646,5456
4647,5457
4656,5458
4659,5459
4681,5469
4761,5525
4774,5527
4775,5575
4778,5579
4795,5581
4796,5608
4809,5618
4810,5662
4841,5664
4858,5697
4881,5729
4900,5734
4905,5784
4908,5792
4919,5798
4922,5799
4998,5802
5004,5873
5005,5909
5017,5930
5021,5967
5058,5987
